"Kanji";"Hiragana";"English"
"あらわす";"あらわす";"to write, to publish"
"ありがとう";"ありがとう";"Thank you"
"あるいは";"あるいは";"or, possibly"
"歩く";"あるく";"to walk"
"アルバイト";"アルバイト";"part-time job, side job; (noun) albite"
"アルバム";"アルバム";"album"
"あれ";"あれ";"that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly), that person (used to refer to one's equals or inferiors), over there; (noun) down there (i.e. one's genitals), period, menses; (interjection) hey (expression of surprise or suspicion), eh?; (noun) that (something mentioned before which is distant psychologically or in terms of time)"
"あれこれ";"あれこれ";"one thing or another, this and that, this or that"
"あわせる";"あわせる";"to match (rhythm, speed, etc.), to join together, to unite, to combine, to add up, to face, to be opposite (someone), to compare, to check with, to cause to meet (e.g. an unpleasant fate), to place together, to connect, to overlap, to mix, to combine, to put blade to blade, to fight"
"あん";"あん";"idea, plan, thought, draft plan, motion, rough copy, expectation"
"安易";"あんい";"easy, simple, easy-going"
"あんき";"あんき";"memorization, memorisation, learning by heart"
"安心";"あんしん";"relief, peace of mind"
"安全";"あんぜん";"safety, security"
"安定";"あんてい";"stability, equilibrium"
"アンテナ";"アンテナ";"antenna, person who collects information or opinions"
"あんな";"あんな";"such (about something or someone distant from both speaker and listener, or about a situation unfamiliar to both speaker and listener), so, that, sort of"
"あんない";"あんない";"information, guidance, leading; (noun) to guide, to show (around), to conduct"
"あんなに";"あんなに";"to that extent, to that degree"
"胃";"い";"stomach, Chinese ""stomach"" constellation (one of the 28 mansions)"
"~位";"~い";
"いい";"いい";"good, excellent, fine, nice, pleasant, agreeable, sufficient (can be used to turn down an offer), ready, prepared, profitable (e.g. deal, business offer, etc.), beneficial, OK"
"いえ";"いえ";"house, residence, dwelling, family, household, lineage, family name"
"言い付ける";"いいつける";"to tell (to do), to order, to charge, to direct, to tell on (someone), to report, to often say"
"委員";"いいん";"committee member"
"言う";"いう";"to say, to call (i.e. to give a name)"
"家";"いえ";"house, residence, dwelling, family, household, lineage, family name"
"以下";"いか";"not exceeding, and downward, ... and below, below (e.g. standard), under (e.g. a level), the below-mentioned, the following, the rest"
"意外";"いがい";"unexpected, surprising"
"いかが";"いかが";"how, in what way, how about"
"医学";"いがく";"medical science, medicine"
"いき";"いき";"bound for ...; (noun) going (to)"
"息";"いき";"breath, breathing, tone, mood"
"いぎ";"いぎ";"meaning, significance"
"勢い";"いきおい";"force, vigor, vigour, energy, spirit, life, influence, authority, power, might, impetus, momentum, course (of events); (adverbial) naturally, necessarily"
"生きる";"いきる";"to live, to exist"
"いく~";"いく~";
"行く";"いく";"to go, to proceed, to take place, to die, to pass away; (auxiliary) to continue"
"育児";"いくじ";"childcare, nursing, upbringing"
"いくら~ても";"いくら~ても";
"池";"いけ";"pond"
"いけない";"いけない";"wrong, not good, of no use, hopeless, past hope, must not do"
"意見";"いけん";"opinion, view"
"以後";"いご";"after this, from now on, hereafter, thereafter, since (verb) (after -te form of verb), after (time), since (then)"
"イコール";"イコール";"equal, the equality sign (=); (Expressions) equals (A equals B)"
"石";"いし";"stone, gem, jewel"
"医師";"いし";"doctor, physician"
"意思";"いし";"intention, purpose"
"いじ";"いじ";"maintenance, preservation, improvement"
"意識";"いしき";"consciousness, awareness, sense, mano-vijnana (mental consciousness, cognizer of sensory information)"
"いじめる";"いじめる";"to tease, to torment, to persecute, to chastise"
"医者";"いしゃ";"doctor, physician"
"いじょう";"いじょう";"strangeness, abnormality, disorder"
"いずみ";"いずみ";"spring, fountain"
"いずれ";"いずれ";"where, which, who, anyway, anyhow, at any rate, sooner or later, eventually, at some future date or time"
"以前";"いぜん";"ago, since, before, previous"
"板";"いた";"board, plank, sheet (of metal), plate (of glass), pane, slab, cutting board, chopping board, stage (i.e. at a theatre)"
"いたい";"いたい";"painful, sore; (suffix) exceeding"
"いだい";"いだい";"greatness"
"いだく";"いだく";"to embrace, to hold in the arms (e.g. a baby), to hug; (transitive) to harbour (e.g. grudge) (harbor), to bear (e.g. a grudge), to entertain (e.g. suspicion); (Godan) to sleep with; (Godan) to sit on eggs"
"いたずら";"いたずら";"tease, prank, trick, practical joke, mischief"
"いただきます";"いただきます";"expression of gratitude before meals"
"いただく";"いただく";"to receive, to get, to accept, to take, to buy, to eat, to drink, to be crowned with, to wear (on one's head), to have (on top), to have (as one's leader), to live under (a ruler), to install (a president)"
"いたみ";"いたみ";"pain, ache, sore, grief, distress"
"~いち";"（日本一）";
"位置";"いち";"place, situation, position, location"
"いちおう";"いちおう";"once, tentatively, in outline, for the time being, just in case"
"一時";"いちじ";"moment, time"
"いちだんと";"いちだんと";"greater, more, further, still more"
"一度";"いちど";"once, one time, on one occasion; (adverbial) temporarily, for a moment; (adverbial) one degree, one tone, one musical interval"
"一度に";"いちどに";"all at once"
"市場";"いちば";"market, (the) marketplace"
"一番";"いちばん";"best, first, number one, game, round, bout, fall, event (in a meet)"
"一流";"いちりゅう";"first-class, top grade, school (of art), foremost, top-notch, unique"
"いつ";"いつ";"being comfortable, relaxing"
"五日";"いつか";"the fifth day of the month, five days"
"いつか";"いつか";"sometime, someday, one day, some time or other, the other day, in due course, in time"
"一家";"いっか";"a house, a home, a family, a household, one's family, one's folks, a style"
"一昨年";"いっさくねん";"year before last"
"一種";"いっしゅ";"species, kind, variety"
"いっしゅん";"いっしゅん";"moment, instant"
"いっしょ";"いっしょ";"together, at the same time, same, identical"
"一生";"いっしょう";"whole life, a lifetime, all through life, one existence, a generation, an age, the whole world, the era; (nouns) (the only, the greatest, etc.) of one's life"
"いっしょうけんめい";"いっしょうけんめい";"very hard, with utmost effort, with all one's might, for dear life"
"いっせい";"いっせい";"simultaneous, all at once"
"いっそう";"いっそう";"much more, still more, all the more, (would) rather, sooner, might as well; (noun) single layer (or storey, etc.)"
"一体";"いったい";"...the heck (e.g. ""what the heck?""), ...in the world (e.g. ""why in the world?""), ...on earth (e.g. ""who on earth?""); (noun) one object, one body, unity, one form, one style, one Buddhist image (or carving, etc.); (adverb) generally, in general"
"いったん";"いったん";"once, for a moment, temporarily; (noun) one morning"
"いっち";"いっち";"coincidence, agreement, union, match, conformity, consistency, cooperation"
"五つ";"いつつ";"five"
"一定";"いってい";"fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized, standardised, certain, prescribed"
"いっていらっしゃい";"いっていらっしゃい";
"いってらっしゃい";"いってらっしゃい";"have a good day, take care, see you"
"いってまいります";"いってまいります";"So long (lit:""(I'm) going and coming back""), I'm off, see you later"
"いってきます";"いってきます";"I'm off, see you later"
"いつでも";"いつでも";"any time, always, at all times, whenever"
"いつのまにか";"いつのまにか";"before one knows, before one becomes aware of, unnoticed, unawares"
"いっぱん";"いっぱん";"general, liberal, universal, ordinary, average"
"一方";"いっぽう";"one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; (conjunction) on the one hand, on the other hand, whereas, although, but at the same time, meanwhile, in turn; (noun,) (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., continuously ..., just keeps on ...ing, only"
"いつまでも";"いつまでも";"forever, for good, eternally, as long as one likes, indefinitely, no matter what"
"いつも";"いつも";"always, usually, every time, never (with neg. verb)"
"移転";"いてん";"moving, transfer, demise"
"糸";"いと";"thread, yarn, string"
"いど";"いど";"water well"
"移動";"いどう";"removal, migration, movement, mobile (e.g. communications)"
"いとこ";"いとこ";"male cousin"
"いとこ";"いとこ";"cousin (female)"
"以内";"いない";"within, inside of, less than"
"いなか";"いなか";"rural area, countryside, the sticks, hometown"
"犬";"いぬ";"dog (Canis (lupus) familiaris), snoop (i.e. a detective, a spy, etc.); (noun,) counterfeit, inferior, useless, wasteful"
"いね";"いね";"rice-plant"
"命";"いのち";"life"
"いはん";"いはん";"violation (of law), transgression, infringement, breach"
"いふく";"いふく";"clothes"
"今";"いま";"now, the present time, just now, soon, immediately, (one) more"
"今にも";"いまにも";"at any time, soon"
"意味";"いみ";"meaning, significance"
"イメージ";"イメージ";"image, (computer) image, artist's impression"
"妹";"いもうと";"younger sister"
"いや";"いや";"disagreeable, detestable, unpleasant, reluctant"
"いや";"いや";"no, the noes"
"いよいよ";"いよいよ";"more and more, all the more, increasingly, at last, finally, beyond doubt, (at the) last moment, worst possible time"
"以来";"いらい";"since, henceforth"
"いらい";"いらい";"request, commission, dispatch, despatch, dependence, trust"
"いらいら";"いらいら";"getting nervous, irritation"
"いらっしゃい";"いらっしゃい";"come, go, stay, welcome!"
"いらっしゃる";"いらっしゃる";"to come, to go, to be (somewhere); (auxiliary) (after a -te form, or the particle ""de"") is (doing), are (doing)"
"入口";"いりぐち";"entrance, entry, gate, approach, mouth"
"いりょう";"いりょう";"medical care, medical treatment"
"居る";"いる";"to be (of animate objects), to exist, to stay; (auxiliary) (after the -te form of a verb) verb indicating continuing action or state (i.e. to be ..ing, to have been ..ing)"
"入れる";"いれる";"to put in, to let in, to take in, to bring in, to insert, to set (a jewel, etc.), to admit, to accept, to employ, to hire, to accept, to comply, to grant, to adopt (a policy, etc.), to take (advice, etc.), to listen to, to pay attention to, to include, to pay (one's rent, etc.), to cast (a vote), to make (tea, coffee, etc.), to turn on (a switch, etc.), to send (a fax), to call"
"色";"いろ";"colour, color, complexion, appearance, look, love, lust, sensuality, love affair, lover, kind, type, variety"
"岩";"いわ";"rock, crag"
"祝い";"いわい";"congratulation, congratulations, celebration, festival, congratulatory gift"
"言わば";"いわば";"so to speak, so to call it, as it were"
"いわゆる";"いわゆる";"what is called, as it is called, the so-called, so to speak"
"~員";"~いん";
"インク";"インク";"ink"
"インキ";"インキ";"ink"
"印刷";"いんさつ";"printing"
"印象";"いんしょう";"impression"
"引退";"いんたい";"retire"
"インタビュー";"インタビュー";"interview (i.e. television, newspaper, etc.)"
"ウイスキー";"ウイスキー";"whisky, whiskey"
"ウーマン";"ウーマン";"woman"
"ウール";"ウール";"wool"
"上";"うえ";"above, up, over, top, summit, surface, on, before, previous, superiority, one's superior (i.e. one's elder), on top of that, besides, what's more, upon (further inspection, etc.), based on (and occurring after), matters concerning..., as concerns ..., since (i.e. ""for that reason""); (noun,) suffix indicating higher social standing, place of one's superior (i.e. the throne), emperor, sovereign, shogun, daimyo, noblewoman (esp. the wife of a nobleman)"
"ウエートレス";"ウエートレス";"waitress"
"魚";"うお";"fish"
"うがい";"うがい";"cormorant fishing, cormorant fisherman"
"うかがう";"うかがう";"to visit, to ask, to inquire, to hear, to be told; (Godan) to implore (a god for an oracle), to seek direction (from your superior); (intransitive) to visit, to speak to (a large crowd at a theatre, etc.)"
"うく";"うく";"to float, to become merry, to become loose, to feel out of it, to be cut off (e.g. from those around you)"
"受付";"うけつけ";"reception (desk), information desk; (noun) receipt, acceptance"
"動く";"うごく";"to move, to stir, to shift, to shake, to swing, to operate, to run, to go, to work, to be touched, to be influenced, to change, to vary, to fluctuate, to waver, certain, factual, to be transferred"
"牛";"うし";"cattle, cow, ox, oxen, beef, Chinese ""Ox"" constellation (one of the 28 mansions)"
"失う";"うしなう";"to lose, to part with"
"内";"うち";"inside, within, while, among, amongst, between; (nouns) we (referring to one's in-group, i.e. company, etc.), our; (nouns) my spouse; (noun) imperial palace grounds, emperor; (nouns) I (primarily used by women and children), me"
"うち";"（三つの~）";"house, home (one's own); (nouns) (one's) family, (one's) household"
"打合せ";"うちあわせ";"business meeting, previous arrangement, appointment"
"うちゅう";"うちゅう";"universe, cosmos, space"
"打つ";"うつ";"to hit (something inanimate), to strike, to beat (on something), to type, to tap (e.g. a key), to inject, to indulge in gambling, to visit (on a pilgrimage)"
"うっかり";"うっかり";"carelessly, thoughtlessly, inadvertently"
"美しい";"うつくしい";"beautiful, lovely"
"うで";"うで";"arm, skill"
"うどん";"うどん";"udon (thick Japanese wheat noodles)"
"うなずく";"うなずく";"to nod, to bow one's head in assent"
"うなる";"うなる";"to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough"
"うばう";"うばう";"to snatch away, to dispossess, to steal"
"馬";"うま";"horse, promoted bishop (shogi)"
"うまい";"うまい";"skillful, clever, expert, wise, successful, delicious, appetizing, appetising, fortunate, splendid, promising"
"生まれ";"うまれ";"birth, birthplace"
"生まれる";"うまれる";"to be born"
"海";"うみ";"sea, beach"
"有無";"うむ";"existence or nonexistence, presence or absence, consent or refusal, yes or no; (noun) flag indicator, presence or absence marker"
"うめ";"うめ";"plum, Japanese apricot, prunus mume, lowest (of a three-tier ranking system)"
"うめる";"うめる";"to cover, to bury (e.g. one's face in hands), to submerge, to fill (completely), to stuff, to pack, to cram, to fill up"
"うやまう";"うやまう";"to show respect, to honour, to honor"
"うら";"うら";"bottom (or another side that is hidden from view), undersurface, opposite side, reverse side, rear, back, behind (the house), lining, inside, out of sight, behind the scenes, proof, opposite (of a prediction, common sense, etc.), inverse (of a hypothesis, etc.), bottom (of an inning), last half (of an inning)"
"うらやましい";"うらやましい";"envious (feeling, etc.), jealous, enviable (position, etc.)"
"うらやむ";"うらやむ";"to envy"
"売上";"うりあげ";"amount sold, proceeds"
"売り切れ";"うりきれ";"sold-out"
"売り切れる";"うりきれる";"to be sold out"
"売り場";"うりば";"place where things are sold, point of sale, POS, sales floor, counter (in shop)"
"売る";"うる";"to sell"
"うるさい";"うるさい";"noisy, loud, fussy, annoying, troublesome, tiresome, importunate, bossy"
"うれしい";"うれしい";"happy, glad, pleasant"
"売行き";"うれゆき";"sales, demand"
"売れる";"うれる";"to sell (well), to be well known, to be popular, to be famous"
"うろうろ";"うろうろ";"loiteringly, aimless wandering"
"上~";"うわ~";
"うん";"（感）";"yeah, uh huh; (noun,) some (at the start of a number in place of a digit)"
"運";"うん";"fortune, luck"
"運転";"うんてん";"operation, motion, driving"
"うんと";"うんと";"a great deal, very much, a lot, with a great amount of effort"
"運動";"うんどう";"motion, exercise"
"え";"え";"handle, grip, stalk (of a mushroom, leaf, etc.)"
"絵";"え";"picture, drawing, painting, sketch"
"えいが";"えいが";"movie, film"
"えいきょう";"えいきょう";"influence, effect"
"営業";"えいぎょう";"business, trade, sales, operations"
"英語";"えいご";"English (language)"
"えいせい";"えいせい";"satellite"
"えいよう";"えいよう";"nutrition, nourishment"
"ええ";"ええ";"yes, that is correct, right, um, errr, huh?, grrr, gah, Must I?; (noun) good"
"ええと";"ええと";"let me see, well, errr ..."
"笑顔";"えがお";"smiling face, smile"
"えがく";"えがく";"to draw, to paint, to sketch, to depict, to describe"
"駅";"えき";"station"
"エスカレーター";"エスカレーター";"escalator"
"枝";"えだ";"branch, bow, bough, twig, limb"
"エチケット";"エチケット";"etiquette"
"エネルギー";"エネルギー";"energy"
"エプロン";"エプロン";"apron"
"選ぶ";"えらぶ";"to choose, to select"
"エレベーター";"エレベーター";"elevator, lift"
"円";"えん";"Yen, money; (noun) circle"
"~円";"~えん";
"~園";"~えん";
"えんき";"えんき";"postponement, adjournment"
"演技";"えんぎ";"acting, performance"
"えんげき";"えんげき";"play (theatrical)"
"円周";"えんしゅう";"circumference"
"えんじょ";"えんじょ";"assistance, aid, support"
"エンジン";"エンジン";"engine"
"演説";"えんぜつ";"speech, address"
"えんそう";"えんそう";"musical performance"
"えんちょう";"えんちょう";"extension, elongation, prolongation, lengthening; (noun) Enchou era (923.4.11-931.4.26)"
"お";"お";"honourable, honorable"
"おん~";"おん~";
"おい";"おい";"old age, old person, the old, the aged"
"おいかける";"おいかける";"to chase, to run after, to pursue"
"おいしい";"おいしい";"delicious, tasty, nice (move in sport, trick, etc., nuance of being easy or a bit lucky), sweet"
"おいでになる";"おいでになる";"to be, to come, to go"
"オイル";"オイル";"oil, engine oil, kerosene"
"王";"おう";"king, ruler, sovereign, monarch, king (for senior player) (shogi)"
"追う";"おう";"to chase, to run after, to pursue, to follow (i.e. a set order, a trend), to drive out, to oust, to expel, to drive (i.e. a herd), (in passive voice) to be pressed (for time, etc.)"
"おうえん";"おうえん";"aid, assistance, help, reinforcement, rooting, barracking, support, cheering"
"王子";"おうじ";"prince"
"おうじる";"おうじる";"to respond, to satisfy, to accept, to comply with, to apply for"
"おうふく";"おうふく";"round trip, coming and going, return ticket"
"おうべい";"おうべい";"Europe and America, the West"
"おうよう";"おうよう";"application, put to practical use"
"終える";"おえる";"to finish"
"おお~";"大~";
"おおい";"おおい";"many, numerous"
"大いに";"おおいに";"very, much, greatly, a lot of"
"大きい";"おおきい";"big, large, great, loud"
"オーケストラ";"オーケストラ";"orchestra"
"大勢";"おおぜい";"many, crowd, great number of people"
"オートメーション";"オートメーション";"automation"
"オートバイ";"オートバイ";"motorcycle"
"オーバー";"オーバー";"overcoat, over, exceeding, going beyond, exaggeration, ball hit over the head of an outfielder (baseball)"
"オーバーコート";"オーバーコート";"overcoat"
"おおよそ";"おおよそ";"about, roughly, as a rule, approximately"
"おか";"おか";"hill, height, knoll, rising ground"
"お母さん";"おかあさん";"mother"
"お帰り";"おかえり";"return; (interjection) welcome home"
"おかげ";"おかげ";"backing, assistance, thanks or owing to"
"おかけください";"おかけください";"please sit down, please have a seat"
"おかげさまで";"おかげさまで";"Thanks to god, thanks to you"
"おかしい";"おかしい";"strange, funny, amusing, ridiculous"
"おかず";"おかず";"accompaniment for rice dishes, side dish, food for thought (esp. in the context of conversation, or material for assisting arousal during masturbation)"
"おかまいなく";"おかまいなく";"please don't fuss over me"
"お代わり";"おかわり";"second helping, another cup, seconds; (interjection) command to have dog place its second paw in one's hand"
"~おき";"~おき";
"おきのどくに";"おきのどくに";"my sympathies, that's too bad, my condolences"
"おく";"おく";"interior, inner part, inside"
"置く";"おく";"to put, to place, to leave (behind), to do something in advance (usu. following te-form verb)"
"おく";"おく";"10^8, 100,000,000, hundred million"
"おくさん";"おくさん";"wife, your wife, his wife, married lady, madam"
"おくりがな";"おくりがな";"kana written after a kanji to complete the full (usually kun) reading of the word (may inflect), declensional kana ending"
"送る";"おくる";"to send (a thing), to dispatch, to despatch, to take or escort (a person somewhere), to see off (a person), to bid farewell (to the departed), to bury, to spend (time), to live one's life, to pass (down the line), to affix okurigana"
"おくる";"おくる";"to send, to give to, to award to, to confer on"
"おげんきで";"おげんきで";
"お子さん";"おこさん";"child"
"行う";"おこなう";"to perform, to do, to conduct oneself, to carry out"
"おさえる";"おさえる";"to pin something down, to hold something down, to hold something back, to stop, to restrain, to curb, to seize, to grasp, to arrest, to gain control of something, to govern, to keep down (e.g. information), to suppress, to catch happening, to determine (important points), to find (proof), to understand"
"おさきに";"おさきに";"before, previously, ahead; (Expressions) Pardon me for leaving (before you)"
"おじ";"おじ";"uncle (older than one's parent)"
"おじいさん";"おじいさん";"grandfather, male senior-citizen"
"おしいれ";"おしいれ";"closet"
"おじさん";"おじさん";"uncle, old man, mister (vocative), manybar goatfish (Parupeneus multifasciatus)"
"小父さん";"おじさん";"uncle, old man, mister (vocative), manybar goatfish (Parupeneus multifasciatus)"
"おじさん";"おじさん";"uncle, old man, mister (vocative), manybar goatfish (Parupeneus multifasciatus)"
"おしゃれ";"おしゃれ";"smartly dressed, stylish, fashion-conscious; (noun) someone smartly dressed; (noun) to dress up, to be fashionable"
"おしゃべり";"おしゃべり";"chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth"
"おじゃまします";"おじゃまします";"excuse me for disturbing (interrupting) you, greeting used on going to someone's home"
"おす";"おす";"to push, to press, to apply pressure from above, to press down, to stamp (i.e. a passport), to apply a seal"
"おせわになりました";"おせわになりました";
"おせん";"おせん";"pollution, contamination"
"おだいじに";"おだいじに";"take care of yourself"
"おたがい";"おたがい";"mutual, reciprocal, each other"
"おっしゃる";"おっしゃる";"to say, to speak, to tell, to talk"
"夫";"おっと";"wife, dear (formerly used by romantically linked men and women to refer to one another), garnish (esp. one served with sashimi), embellishment"
"おてあらい";"おてあらい";"font of purifying water placed at the entrance of a shrine"
"おでかけ";"おでかけ";"about to start out, just about to leave or go out"
"お手伝いさん";"おてつだいさん";"maid"
"音";"おと";"sound, noise, report, note (music), fame, Chinese-derived character reading"
"お父さん";"おとうさん";"father"
"弟";"おとうと";"younger brother, pupil, apprentice"
"おどかす";"おどかす";"to threaten, to menace, to startle, to surprise"
"男";"おとこ";"man"
"男の子";"おとこのこ";"boy, male child, baby boy"
"男の人";"おとこのひと";"man"
"おととし";"おととし";"year before last"
"大人";"おとな";"adult"
"おとなしい";"おとなしい";"obedient, docile, quiet"
"おどり";"おどり";"dance"
"おどる";"おどる";"to dance (orig. a hopping dance)"
"おどろく";"おどろく";"to be surprised, to be astonished"
"おなか";"おなか";"stomach"
"おなじ";"おなじ";"same, identical, equal, uniform, equivalent, similar, common (origin), changeless, alike; (adverb) (usu. part of a 'nara' conditional) anyway, anyhow, in either case"
"おに";"おに";"ogre, demon, spirit of a deceased person, ogre-like person (i.e. fierce, relentless, merciless, etc.), it (i.e. in a game of tag), Chinese ""ghost"" constellation (one of the 28 mansions)"
"お兄さん";"おにいさん";"older brother, elder brother, (vocative) young man, buddy, fella, laddie"
"お姉さん";"おねえさん";"elder sister, (vocative) young lady, miss (referring to a waitress, etc.), ma'am (used by geisha to refer to their superiors)"
"おねがいします";"おねがいします";"please"
"おばあさん";"おばあさん";"grandmother, female senior-citizen"
"おばさん";"おばさん";"aunt"
"おばさん";"おばさん";"aunt"
"小母さん";"おばさん";"old lady, ma'am (vocative)"
"おはよう";"おはよう";"Good morning"
"帯";"おび";"obi (kimono sash), paper wrapper on books, CDs, etc."
"オフィス";"オフィス";"office"
